ID	gene_name	Especie	KO	LFC	DE	node_type	top_pathway
YP_001085202.1	rplI	aci	K02939	-0.010878463357560264	yes	gene	Ribosome
WP_002886682.1	rplI	kleb	K02939	1.708362435169823	yes	gene	Ribosome
NP_252954.1	rpsJ	pseu	K02946	0.905141394875205	yes	gene	Ribosome
YP_001086080.1	rpsJ	aci	K02946	0.2953790101882081	yes	gene	Ribosome
WP_001181005.1	rpsJ	kleb	K02946	1.9956798704524932	yes	gene	Ribosome
NP_252930.1	rpsK	pseu	K02948	0.7832005576120302	yes	gene	Ribosome
YP_001086057.2	A1S_3058	aci	K02948	0.26501157975656753	yes	gene	Ribosome
WP_002919257.1	rpsK	kleb	K02948	1.5995609765961643	yes	gene	Ribosome
NP_252958.1	rpsL	pseu	K02950	0.8042147516508589	yes	gene	Ribosome
YP_001083900.2	rpsL	aci	K02950	0.10792071020375715	yes	gene	Ribosome
WP_002920115.1	rpsL	kleb	K02950	1.45088206405803	yes	gene	Ribosome
NP_252931.1	rpsM	pseu	K02952	0.9101095209190113	yes	gene	Ribosome
YP_001086058.1	rpsM	aci	K02952	0.20571925664519242	yes	gene	Ribosome
WP_002919259.1	rpsM	kleb	K02952	1.085926549202144	yes	gene	Ribosome
NP_252940.1	rpsN	pseu	K02954	1.2450886506041954	yes	gene	Ribosome
YP_001086067.1	rpsN	aci	K02954	0.325376030416459	yes	gene	Ribosome
WP_002919667.1	rpsN	kleb	K02954	1.8068551910248907	yes	gene	Ribosome
NP_252434.1	rpsP	pseu	K02959	-0.12662800886600323	yes	gene	Ribosome
YP_001086163.1	rpsP	aci	K02959	0.11336249416746469	yes	gene	Ribosome
WP_002914149.1	rpsP	kleb	K02959	1.7489084427419161	yes	gene	Ribosome
NP_252944.1	rpsQ	pseu	K02961	1.2779955950831514	yes	gene	Ribosome
YP_001086071.1	rpsQ	aci	K02961	0.5683657407492131	yes	gene	Ribosome
WP_002919751.1	rpsQ	kleb	K02961	0.5155269725804157	yes	gene	Ribosome
NP_253621.1	rpsR	pseu	K02963	0.6475556384784582	yes	gene	Ribosome
YP_001085201.1	rpsR	aci	K02963	0.0134016182521286	yes	gene	Ribosome
WP_000135199.1	rpsR	kleb	K02963	1.891218450496205	yes	gene	Ribosome
NP_252949.1	rpsS	pseu	K02965	1.0515442467379597	yes	gene	Ribosome
WP_001138115.1	rpsS	kleb	K02965	1.8005711589968847	yes	gene	Ribosome
NP_252346.1	rpsB	pseu	K02967	0.5867631899839125	yes	gene	Ribosome
YP_001085347.1	A1S_2323	aci	K02967	-0.015634064691397498	yes	gene	Ribosome
WP_002889299.1	rpsB	kleb	K02967	2.6219683571309016	yes	gene	Ribosome
NP_249270.1	rpsU	pseu	K02970	-0.16509547342351816	yes	gene	Ribosome
YP_001085270.1	rpsU	aci	K02970	-0.014926554481094811	yes	gene	Ribosome
WP_001144069.1	rpsU	kleb	K02970	1.8811760640520232	yes	gene	Ribosome
NP_252947.1	rpsC	pseu	K02982	1.132796854508662	yes	gene	Ribosome
YP_001086074.2	A1S_3075	aci	K02982	0.47512582163605543	yes	gene	Ribosome
WP_002919766.1	rpsC	kleb	K02982	1.2802492213224124	yes	gene	Ribosome
NP_253622.1	rpsF	pseu	K02990	0.7599437091516386	yes	gene	Ribosome
YP_001085200.2	rpsF	aci	K02990	0.012937048620802472	yes	gene	Ribosome
WP_002885691.1	rpsF	kleb	K02990	1.9798842289717822	yes	gene	Ribosome
NP_252957.1	rpsG	pseu	K02992	0.693673389497139	yes	gene	Ribosome
YP_001083901.2	A1S_0867	aci	K02992	0.2159844205347632	yes	gene	Ribosome
WP_002920113.1	rpsG	kleb	K02992	1.4823058446679305	yes	gene	Ribosome
NP_252939.1	rpsH	pseu	K02994	0.4541837010247729	yes	gene	Ribosome
YP_001086066.2	rpsH	aci	K02994	0.39108344061125777	yes	gene	Ribosome
WP_002919665.1	rpsH	kleb	K02994	2.0276006031902245	yes	gene	Ribosome
NP_249116.1	mexA	pseu	K03585	0.36640247435320106	yes	gene	Cationic antimicrobial peptide (CAMP) resistance
NP_250709.1	PA2019	pseu	K03585	-0.059475104309038684	yes	gene	Cationic antimicrobial peptide (CAMP) resistance
NP_253064.1	PA4374	pseu	K03585	0.16068391299905294	yes	gene	Cationic antimicrobial peptide (CAMP) resistance
NP_253289.1	mexC	pseu	K03585	0.30596751254647536	yes	gene	Cationic antimicrobial peptide (CAMP) resistance
YP_001084780.1	A1S_1751	aci	K03585	0.20834939530069185	yes	gene	Cationic antimicrobial peptide (CAMP) resistance
YP_001084781.1	A1S_1752	aci	K03585	0.714851480735236	yes	gene	Cationic antimicrobial peptide (CAMP) resistance
YP_001085750.1	A1S_2735	aci	K03585	-0.0061544186859539	yes	gene	Cationic antimicrobial peptide (CAMP) resistance
YP_001085825.1	A1S_2817	aci	K03585	-0.39696823294233496	yes	gene	Cationic antimicrobial peptide (CAMP) resistance
WP_004147376.1	acrA	kleb	K03585	1.1500926080887082	yes	gene	Cationic antimicrobial peptide (CAMP) resistance
WP_004150241.1	eefA	kleb	K03585	2.7940879193716124	yes	gene	Cationic antimicrobial peptide (CAMP) resistance
NP_250962.1	pbpC	pseu	K03587	0.04692198430060124	yes	gene	Peptidoglycan biosynthesis
NP_253108.1	ftsI	pseu	K03587	0.3284813040176804	yes	gene	Peptidoglycan biosynthesis
YP_001086199.1	A1S_3204	aci	K03587	-0.001980772723380042	yes	gene	Peptidoglycan biosynthesis
WP_004148834.1	ftsI	kleb	K03587	2.3674039204750317	yes	gene	Peptidoglycan biosynthesis
NP_253103.1	ftsW	pseu	K03588	0.8315372556963467	yes	gene	Peptidoglycan biosynthesis
YP_001083323.1	A1S_0246	aci	K03588	-0.1299357820824838	yes	gene	Peptidoglycan biosynthesis
WP_002888565.1	ftsW	kleb	K03588	-2.9393661867382352	yes	gene	Peptidoglycan biosynthesis
NP_252605.1	moaE	pseu	K03635	0.28659313390686947	yes	gene	Folate biosynthesis
YP_001085026.1	A1S_1997	aci	K03635	-0.30309288277399293	yes	gene	Folate biosynthesis
WP_002895674.1	moaE	kleb	K03635	2.870162074286526	yes	gene	Folate biosynthesis
NP_252607.1	moaC	pseu	K03637	0.2772807377655866	yes	gene	Folate biosynthesis
WP_002895670.1	moaC	kleb	K03637	-2.216522867108953	yes	gene	Folate biosynthesis
NP_251719.1	moaB2	pseu	K03638	0.17239305792324267	yes	gene	Folate biosynthesis
NP_252604.1	moaB1	pseu	K03638	-0.2693703788118764	yes	gene	Folate biosynthesis
WP_002895668.1	moaB	kleb	K03638	-1.1775574922361383	yes	gene	Folate biosynthesis
NP_254176.1	dsbA	pseu	K03673	0.5404847831016077	yes	gene	Cationic antimicrobial peptide (CAMP) resistance
YP_001083134.1	A1S_0037	aci	K03673	0.2802319120608985	yes	gene	Cationic antimicrobial peptide (CAMP) resistance
WP_004146224.1	dsbA	kleb	K03673	2.3394546976204804	yes	gene	Cationic antimicrobial peptide (CAMP) resistance
